date,member,score
2019. 8. 2,SY,7
2019. 8. 3,SY,7
2019. 8. 4,SY,7
2019. 8. 5,SY,7
2019. 8. 6,SY,6
2019. 8. 7,SY,6
2019. 8. 8,SY,5
2019. 8. 9,SY,4
2019. 8. 10,SY,5
2019. 8. 11,SY,4
2019. 8. 12,SY,5
2019. 8. 13,SY,5
2019. 8. 14,SY,7
2019. 8. 15,SY,6
2019. 8. 16,SY,6
2019. 8. 17,SY,9
2019. 8. 18,SY,7
2019. 8. 19,SY,6
2019. 8. 2,DY,6
2019. 8. 3,DY,9
2019. 8. 4,DY,8
2019. 8. 5,DY,3
2019. 8. 6,DY,4.5
2019. 8. 7,DY,4
2019. 8. 8,DY,6
2019. 8. 9,DY,8
2019. 8. 10,DY,6
2019. 8. 11,DY,8
2019. 8. 12,DY,6
2019. 8. 13,DY,6
2019. 8. 14,DY,6
2019. 8. 15,DY,7.5
2019. 8. 16,DY,8
2019. 8. 17,DY,7
2019. 8. 18,DY,7
2019. 8. 19,DY,6
2019. 8. 2,JH,7
2019. 8. 3,JH,10
2019. 8. 4,JH,9
2019. 8. 5,JH,4
2019. 8. 6,JH,7
2019. 8. 7,JH,8
2019. 8. 8,JH,7
2019. 8. 9,JH,7
2019. 8. 10,JH,8
2019. 8. 11,JH,8
2019. 8. 12,JH,7
2019. 8. 13,JH,4
2019. 8. 14,JH,7
2019. 8. 15,JH,9
2019. 8. 16,JH,8
2019. 8. 17,JH,8
2019. 8. 18,JH,7
2019. 8. 19,JH,7
2019. 8. 2,JW,7
2019. 8. 3,JW,5
2019. 8. 4,JW,7
2019. 8. 5,JW,5
2019. 8. 6,JW,8
2019. 8. 7,JW,8
2019. 8. 8,JW,9
2019. 8. 9,JW,3
2019. 8. 10,JW,9
2019. 8. 11,JW,8
2019. 8. 12,JW,6
2019. 8. 13,JW,7
2019. 8. 14,JW,5
2019. 8. 15,JW,8
2019. 8. 16,JW,8
2019. 8. 17,JW,6
2019. 8. 18,JW,7
2019. 8. 19,JW,8
2019. 8. 2,YE,4
2019. 8. 3,YE,8
2019. 8. 4,YE,7
2019. 8. 5,YE,7
2019. 8. 6,YE,8
2019. 8. 7,YE,9
2019. 8. 8,YE,7
2019. 8. 9,YE,6
2019. 8. 10,YE,8
2019. 8. 11,YE,8
2019. 8. 12,YE,6
2019. 8. 13,YE,8
2019. 8. 14,YE,9
2019. 8. 15,YE,8
2019. 8. 16,YE,7
2019. 8. 17,YE,8
2019. 8. 18,YE,7
2019. 8. 19,YE,7
2019. 8. 2,SunY,7
2019. 8. 3,SunY,8
2019. 8. 4,SunY,8
2019. 8. 5,SunY,5
2019. 8. 6,SunY,6
2019. 8. 7,SunY,4
2019. 8. 8,SunY,6
2019. 8. 9,SunY,9
2019. 8. 10,SunY,7
2019. 8. 11,SunY,4
2019. 8. 12,SunY,6
2019. 8. 13,SunY,5
2019. 8. 14,SunY,6
2019. 8. 15,SunY,9
2019. 8. 16,SunY,6
2019. 8. 17,SunY,7
2019. 8. 18,SunY,9
2019. 8. 19,SunY,6