,final_address,addrbunho,address,cafe,cafe_id,image_url,franchise,si,town,ri,address1,lat,lng
2382,제주특별자치도 제주시 애월읍 고내리 502-1,502-1,제주특별자치도 제주시 애월읍 고내리,예향,9882032,,0.0,제주시,애월읍,고내리,"['제주특별자치도', '제주시', '애월읍', '고내리']",33.46910926482093,126.34198787801917
353,제주특별자치도 제주시 애월읍 애월리 2477,2477,제주특별자치도 제주시 애월읍 애월리,썬셋클리프,611667902,http://t1.daumcdn.net/place/99EEE4C723274F2786F1A3BC2690F21F,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.46183115623703,126.3107023290234
911,제주특별자치도 제주시 애월읍 광령리 1227-2,1227-2,제주특별자치도 제주시 애월읍 광령리,윈드스톤,693016371,http://t1.daumcdn.net/place/C0D9E22A47F34999A5178882AC9ECB9B,0.0,제주시,애월읍,광령리,"['제주특별자치도', '제주시', '애월읍', '광령리']",33.46042746282802,126.43612136922546
2983,제주특별자치도 제주시 애월읍 납읍리 1503-6,1503-6,제주특별자치도 제주시 애월읍 납읍리,푸르메가살고있는곳,1804590593,http://t1.daumcdn.net/localfiy/A6A9FA434AD84D00AB6D09205B7598EB,0.0,제주시,애월읍,납읍리,"['제주특별자치도', '제주시', '애월읍', '납읍리']",33.4359250302414,126.33012577341407
885,제주특별자치도 제주시 애월읍 애월리 1584-1,1584-1,제주특별자치도 제주시 애월읍 애월리,숙이네찻집,1148988883,,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.464413006673254,126.31979087702331
2531,제주특별자치도 제주시 애월읍 하귀1리 1-1,1-1,제주특별자치도 제주시 애월읍 하귀1리,썬플라워,23385255,,0.0,제주시,애월읍,하귀1리,"['제주특별자치도', '제주시', '애월읍', '하귀1리']",33.49059909983849,126.42065920969769
862,제주특별자치도 제주시 애월읍 애월리 1834-4,1834-4,제주특별자치도 제주시 애월읍 애월리,바람이머무는곳,1032727268,http://t1.daumcdn.net/localfiy/E39A04096B2B485683B6EC90016E948C,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.46730328291387,126.3174576297804
2901,제주특별자치도 제주시 애월읍 애월리 2527-3,2527-3,제주특별자치도 제주시 애월읍 애월리,팜파네,1019578215,http://t1.daumcdn.net/localfiy/62077562D64B48968B14923E63E25390,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.46321770629906,126.30971463764284
2601,제주특별자치도 제주시 애월읍 광령리 1011-7,1011-7,제주특별자치도 제주시 애월읍 광령리,마마롱,27469103,http://t1.daumcdn.net/place/F759B11FF60E407EA9E3F7411CC3618D,0.0,제주시,애월읍,광령리,"['제주특별자치도', '제주시', '애월읍', '광령리']",33.45218641200801,126.43919486602626
1630,제주특별자치도 제주시 애월읍 신엄리 989-2,989-2,제주특별자치도 제주시 애월읍 신엄리,제주바다다,814472338,http://t1.daumcdn.net/place/76F81F908EEA4A1B8CC98047515DF05B,0.0,제주시,애월읍,신엄리,"['제주특별자치도', '제주시', '애월읍', '신엄리']",33.47802735000738,126.3668375316952
2260,제주특별자치도 제주시 애월읍 광령리 100-3,100-3,제주특별자치도 제주시 애월읍 광령리,카페그라운드,1842038586,http://t1.daumcdn.net/localfiy/F3068018F0054587A8780B635319E5CB,0.0,제주시,애월읍,광령리,"['제주특별자치도', '제주시', '애월읍', '광령리']",33.45667317300415,126.4416872108778
614,제주특별자치도 제주시 애월읍 신엄리 1607,1607,제주특별자치도 제주시 애월읍 신엄리,잇다,1357049944,,0.0,제주시,애월읍,신엄리,"['제주특별자치도', '제주시', '애월읍', '신엄리']",33.462651764759684,126.36791314498082
211,제주특별자치도 제주시 애월읍 납읍리 1021,1021,제주특별자치도 제주시 애월읍 납읍리,제주의꿈,407565533,,0.0,제주시,애월읍,납읍리,"['제주특별자치도', '제주시', '애월읍', '납읍리']",33.43730749097902,126.33639096135856
81,제주특별자치도 제주시 애월읍 유수암리 1038-8,1038-8,제주특별자치도 제주시 애월읍 유수암리,오븐의일,537355719,http://t1.daumcdn.net/localfiy/112AE0CFE9D04F2FBF9EE3C2134591DE,0.0,제주시,애월읍,유수암리,"['제주특별자치도', '제주시', '애월읍', '유수암리']",33.42426546764518,126.40581936765793
2650,제주특별자치도 제주시 애월읍 애월리 2537,2537,제주특별자치도 제주시 애월읍 애월리,모립,842886196,http://t1.daumcdn.net/place/DBF62EF0A06B43DEB89D122C52B03F4C,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.463005109579015,126.30974644169864
1585,제주특별자치도 제주시 애월읍 하가리 1400,1400,제주특별자치도 제주시 애월읍 하가리,까미노,26094495,http://t1.daumcdn.net/place/827554C11BDE4BC5BAA00C083ED2E186,0.0,제주시,애월읍,하가리,"['제주특별자치도', '제주시', '애월읍', '하가리']",33.45788432077441,126.34775194219357
784,제주특별자치도 제주시 애월읍 고성리 138,138,제주특별자치도 제주시 애월읍 고성리,웨딩카페나비인,1009227539,,0.0,제주시,애월읍,고성리,"['제주특별자치도', '제주시', '애월읍', '고성리']",33.43740649812135,126.42636830865244
2865,제주특별자치도 제주시 애월읍 하귀1리 1138-5,1138-5,제주특별자치도 제주시 애월읍 하귀1리,제주카페 스마일러커피,24370496,http://t1.daumcdn.net/place/9CD7A043D3FB4A79AC5EA088ED247FBA,0.0,제주시,애월읍,하귀1리,"['제주특별자치도', '제주시', '애월읍', '하귀1리']",33.46996603122728,126.41581356446981
1108,제주특별자치도 제주시 애월읍 하귀1리 1603-2,1603-2,제주특별자치도 제주시 애월읍 하귀1리,달콤커피 볼륨1603 제주하귀점,1461897927,http://t1.daumcdn.net/localfiy/912B84A3B22A4622AB86B8DF5B33A21B,1.0,제주시,애월읍,하귀1리,"['제주특별자치도', '제주시', '애월읍', '하귀1리']",33.48479552413814,126.40598309364142
1176,제주특별자치도 제주시 애월읍 수산리 965-1,965-1,제주특별자치도 제주시 애월읍 수산리,제주무이,24973813,http://t1.daumcdn.net/localfiy/F3528046E22347E2AEA4928B6DCDC0C7,0.0,제주시,애월읍,수산리,"['제주특별자치도', '제주시', '애월읍', '수산리']",33.46896572072608,126.3886121980401
3059,제주특별자치도 제주시 애월읍 애월리 2464-2,2464-2,제주특별자치도 제주시 애월읍 애월리,지금이순간,2058969392,http://t1.daumcdn.net/place/B97BC27217B54A7D9BCD3F000A56506D,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.460466088711534,126.3110143133586
1672,제주특별자치도 제주시 애월읍 애월리 2540,2540,제주특별자치도 제주시 애월읍 애월리,봄날,1664012464,http://t1.daumcdn.net/place/4B1A5645182547BCA01D9930D351477C,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.462516718264325,126.30947063816524
1895,제주특별자치도 제주시 애월읍 유수암리 1679-1,1679-1,제주특별자치도 제주시 애월읍 유수암리,슬로리,12505724,,0.0,제주시,애월읍,유수암리,"['제주특별자치도', '제주시', '애월읍', '유수암리']",33.43414724564346,126.4006334670965
871,제주특별자치도 제주시 애월읍 유수암리 617-1,617-1,제주특별자치도 제주시 애월읍 유수암리,비온뒤맑게갠하늘,787781146,,0.0,제주시,애월읍,유수암리,"['제주특별자치도', '제주시', '애월읍', '유수암리']",33.443627122205314,126.40410864720775
1890,제주특별자치도 제주시 애월읍 하가리 1476,1476,제주특별자치도 제주시 애월읍 하가리,하가1476,730859111,http://t1.daumcdn.net/localfiy/1293B2D09C1D42549BC7FD07471F4E78,0.0,제주시,애월읍,하가리,"['제주특별자치도', '제주시', '애월읍', '하가리']",33.45549725886464,126.34918959101746
1572,제주특별자치도 제주시 애월읍 신엄리 2806-2,2806-2,제주특별자치도 제주시 애월읍 신엄리,카페라이,836519835,,0.0,제주시,애월읍,신엄리,"['제주특별자치도', '제주시', '애월읍', '신엄리']",33.476662270269365,126.35389422708828
1777,제주특별자치도 제주시 애월읍 곽지리 1581-22,1581-22,제주특별자치도 제주시 애월읍 곽지리,곽지bar다,26884051,http://t1.daumcdn.net/place/64BD6F7BD8C9466C94A70A3A32BCB9B6,0.0,제주시,애월읍,곽지리,"['제주특별자치도', '제주시', '애월읍', '곽지리']",33.44777186356767,126.30457142755725
3208,제주특별자치도 제주시 애월읍 고내리 1159,1159,제주특별자치도 제주시 애월읍 고내리,솔트,2104119400,http://t1.daumcdn.net/localfiy/searchregister_347761093,0.0,제주시,애월읍,고내리,"['제주특별자치도', '제주시', '애월읍', '고내리']",33.46703066663538,126.33632373572551
1547,제주특별자치도 제주시 애월읍 하가리 1371,1371,제주특별자치도 제주시 애월읍 하가리,카페시바,953526560,,0.0,제주시,애월읍,하가리,"['제주특별자치도', '제주시', '애월읍', '하가리']",33.45525053525965,126.3482191058234
1915,제주특별자치도 제주시 애월읍 하귀1리 138-1,138-1,제주특별자치도 제주시 애월읍 하귀1리,리틀푸키,894217640,http://t1.daumcdn.net/localfiy/3E77245063234B18A31E94D34074F411,0.0,제주시,애월읍,하귀1리,"['제주특별자치도', '제주시', '애월읍', '하귀1리']",33.48592267974972,126.41549987249326
1816,제주특별자치도 제주시 애월읍 곽지리 1557-3,1557-3,제주특별자치도 제주시 애월읍 곽지리,팩토리스토리,26575464,http://t1.daumcdn.net/cfile/27067A3755CC866831,0.0,제주시,애월읍,곽지리,"['제주특별자치도', '제주시', '애월읍', '곽지리']",33.45439151435916,126.30750867460145
1651,제주특별자치도 제주시 애월읍 하가리 1407,1407,제주특별자치도 제주시 애월읍 하가리,꽃향유,2069872093,http://t1.daumcdn.net/place/CBF7BEA0DEF3472C851F1F40F9B66DC9,0.0,제주시,애월읍,하가리,"['제주특별자치도', '제주시', '애월읍', '하가리']",33.457107423982315,126.34746089185126
2950,제주특별자치도 제주시 애월읍 봉성리 산 23-2,산 23-2,제주특별자치도 제주시 애월읍 봉성리,효월,9534263,,0.0,제주시,애월읍,봉성리,"['제주특별자치도', '제주시', '애월읍', '봉성리']",33.347812753982616,126.38716573697391
1521,제주특별자치도 제주시 애월읍 유수암리 1041-1,1041-1,제주특별자치도 제주시 애월읍 유수암리,베베로,1224634355,http://t1.daumcdn.net/localfiy/183FC32EC17B4144A24729625BE97CAF,0.0,제주시,애월읍,유수암리,"['제주특별자치도', '제주시', '애월읍', '유수암리']",33.42349332720896,126.40423763671748
3220,제주특별자치도 제주시 애월읍 곽지리 1381,1381,제주특별자치도 제주시 애월읍 곽지리,호박다방,27221956,http://t1.daumcdn.net/place/EE71140DACE64570A5F0C62BF333DB32,0.0,제주시,애월읍,곽지리,"['제주특별자치도', '제주시', '애월읍', '곽지리']",33.45603245986354,126.3088121531693
147,제주특별자치도 제주시 애월읍 장전리 634-1,634-1,제주특별자치도 제주시 애월읍 장전리,시루애월,819891458,http://t1.daumcdn.net/localfiy/176E70BB7DD94CFDB85837E6597FFE03,0.0,제주시,애월읍,장전리,"['제주특별자치도', '제주시', '애월읍', '장전리']",33.4426118642798,126.39183845111287
2463,제주특별자치도 제주시 애월읍 유수암리 881,881,제주특별자치도 제주시 애월읍 유수암리,더정글,652038191,http://t1.daumcdn.net/cfile/221BC34E5858DD6320,0.0,제주시,애월읍,유수암리,"['제주특별자치도', '제주시', '애월읍', '유수암리']",33.43146093090824,126.40823491675675
2049,제주특별자치도 제주시 애월읍 고성리 126-7,126-7,제주특별자치도 제주시 애월읍 고성리,모아카페,742473425,,0.0,제주시,애월읍,고성리,"['제주특별자치도', '제주시', '애월읍', '고성리']",33.43445932999614,126.42698558614458
2816,제주특별자치도 제주시 애월읍 고내리 337,337,제주특별자치도 제주시 애월읍 고내리,망고앤자몽,152666632,http://t1.daumcdn.net/place/A1C55D821B2C408B9DA74B232EF7497B,0.0,제주시,애월읍,고내리,"['제주특별자치도', '제주시', '애월읍', '고내리']",33.47275063193762,126.34930592177325
2340,제주특별자치도 제주시 애월읍 곽지리 1557,1557,제주특별자치도 제주시 애월읍 곽지리,고구마카페,1391971921,,0.0,제주시,애월읍,곽지리,"['제주특별자치도', '제주시', '애월읍', '곽지리']",33.454191802268205,126.30791037335484
2729,제주특별자치도 제주시 애월읍 금성리 567,567,제주특별자치도 제주시 애월읍 금성리,미인계,2138887740,,0.0,제주시,애월읍,금성리,"['제주특별자치도', '제주시', '애월읍', '금성리']",33.446929825199014,126.29977291298582
3136,제주특별자치도 제주시 애월읍 애월리 2484-1,2484-1,제주특별자치도 제주시 애월읍 애월리,커플,23257049,http://t1.daumcdn.net/place/CF1206E7D9F846D680702C6287D6D87B,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.462371300418994,126.31185547404183
1292,제주특별자치도 제주시 애월읍 유수암리 1014,1014,제주특별자치도 제주시 애월읍 유수암리,요석원,956734211,,0.0,제주시,애월읍,유수암리,"['제주특별자치도', '제주시', '애월읍', '유수암리']",33.423655553427174,126.40799112464153
2610,제주특별자치도 제주시 애월읍 애월리 2578-5,2578-5,제주특별자치도 제주시 애월읍 애월리,레이지펌프,88307711,http://t1.daumcdn.net/localfiy/1F907122236E4CC5A99BCA9F899E1883,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.46600585510604,126.30979580488072
2430,제주특별자치도 제주시 애월읍 신엄리 2806-2,2806-2,제주특별자치도 제주시 애월읍 신엄리,금빛낙조,21502265,,0.0,제주시,애월읍,신엄리,"['제주특별자치도', '제주시', '애월읍', '신엄리']",33.476662270269365,126.35389422708828
186,제주특별자치도 제주시 애월읍 곽지리 1565-13,1565-13,제주특별자치도 제주시 애월읍 곽지리,새콤달콤 애월점,586961257,http://t1.daumcdn.net/place/D721995845C6452C8B00DEE2FA168C50,0.0,제주시,애월읍,곽지리,"['제주특별자치도', '제주시', '애월읍', '곽지리']",33.449077841953226,126.30401464834813
3073,제주특별자치도 제주시 애월읍 유수암리 1894,1894,제주특별자치도 제주시 애월읍 유수암리,카페유수공간,1536848112,http://t1.daumcdn.net/localfiy/searchregister_1980699664,0.0,제주시,애월읍,유수암리,"['제주특별자치도', '제주시', '애월읍', '유수암리']",33.44114285790272,126.4027189891276
1306,제주특별자치도 제주시 애월읍 하귀2리 2825-2,2825-2,제주특별자치도 제주시 애월읍 하귀2리,카페엉클토니스,22513555,http://t1.daumcdn.net/cfile/261FC93E5399242C14,0.0,제주시,애월읍,하귀2리,"['제주특별자치도', '제주시', '애월읍', '하귀2리']",33.48828424180287,126.38993553237175
1765,제주특별자치도 제주시 애월읍 애월리 2474-2,2474-2,제주특별자치도 제주시 애월읍 애월리,애월애카페,26938486,http://t1.daumcdn.net/place/695EAC2F12C24B18AD583A33D4A7F5E4,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.460627697206554,126.31089256240026
2451,제주특별자치도 제주시 애월읍 곽지리 1573,1573,제주특별자치도 제주시 애월읍 곽지리,투썸플레이스 제주곽지과물해변점,26849825,http://t1.daumcdn.net/place/EA69BB9A363A4A7CBA3E496EE1773C3C,1.0,제주시,애월읍,곽지리,"['제주특별자치도', '제주시', '애월읍', '곽지리']",33.44941532911623,126.30503153482488
3084,제주특별자치도 제주시 애월읍 고내리 1156,1156,제주특별자치도 제주시 애월읍 고내리,더바당카페,365122787,,0.0,제주시,애월읍,고내리,"['제주특별자치도', '제주시', '애월읍', '고내리']",33.46715925539451,126.33676595663832
627,제주특별자치도 제주시 애월읍 애월리 2533-2,2533-2,제주특별자치도 제주시 애월읍 애월리,바바,1665334776,http://t1.daumcdn.net/localfiy/7529A9F0CB874054A192F07A2E036B81,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.46259465218181,126.30986586746863
3366,제주특별자치도 제주시 애월읍 봉성리 4086,4086,제주특별자치도 제주시 애월읍 봉성리,봉성프리마,2043816287,http://t1.daumcdn.net/localfiy/7D9806D8DF714145AD7CB8438C503D37,0.0,제주시,애월읍,봉성리,"['제주특별자치도', '제주시', '애월읍', '봉성리']",33.416352853657706,126.31159941566033
1637,제주특별자치도 제주시 애월읍 하가리 960-1,960-1,제주특별자치도 제주시 애월읍 하가리,라꾸르카페펜션,712442596,,0.0,제주시,애월읍,하가리,"['제주특별자치도', '제주시', '애월읍', '하가리']",33.45832272656341,126.35157787563082
579,제주특별자치도 제주시 애월읍 금성리 567,567,제주특별자치도 제주시 애월읍 금성리,애월쌀롱,691711301,,0.0,제주시,애월읍,금성리,"['제주특별자치도', '제주시', '애월읍', '금성리']",33.446929825199014,126.29977291298582
2882,제주특별자치도 제주시 애월읍 납읍리 2274-7,2274-7,제주특별자치도 제주시 애월읍 납읍리,36.5도여름 남쪽점,1338492632,http://t1.daumcdn.net/localfiy/15A22391F00A4CA6BE225E66D28F4A43,0.0,제주시,애월읍,납읍리,"['제주특별자치도', '제주시', '애월읍', '납읍리']",33.43941320872402,126.32827941271444
3242,제주특별자치도 제주시 애월읍 고내리 340,340,제주특별자치도 제주시 애월읍 고내리,스타벅스 제주애월DT점,1693150085,http://t1.daumcdn.net/place/574D6ACCCAB0480AB14B6173FD4B78F6,1.0,제주시,애월읍,고내리,"['제주특별자치도', '제주시', '애월읍', '고내리']",33.47279800000739,126.34871172539309
2728,,,제주특별자치도 제주시 애월읍 애월리,애월카페거리,1134184953,,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",,
2160,제주특별자치도 제주시 애월읍 고성리 418-1,418-1,제주특별자치도 제주시 애월읍 고성리,이너프,679736866,http://t1.daumcdn.net/place/A580486B34A74FF998EAF14DF4A44585,0.0,제주시,애월읍,고성리,"['제주특별자치도', '제주시', '애월읍', '고성리']",33.45632097343864,126.41918782828047
1251,제주특별자치도 제주시 애월읍 광령리 2010-11,2010-11,제주특별자치도 제주시 애월읍 광령리,명가헌,9024564,,0.0,제주시,애월읍,광령리,"['제주특별자치도', '제주시', '애월읍', '광령리']",33.46257159114082,126.43102166454088
3297,제주특별자치도 제주시 애월읍 수산리 511,511,제주특별자치도 제주시 애월읍 수산리,볼수록제주,284916087,http://t1.daumcdn.net/localfiy/84148561D1824E8E9DE7674D5A9E2FA3,0.0,제주시,애월읍,수산리,"['제주특별자치도', '제주시', '애월읍', '수산리']",33.46824973952613,126.3933591250317
3022,제주특별자치도 제주시 애월읍 고성리 298-1,298-1,제주특별자치도 제주시 애월읍 고성리,어클락,742135928,,0.0,제주시,애월읍,고성리,"['제주특별자치도', '제주시', '애월읍', '고성리']",33.462799834559185,126.41803882148302
2720,제주특별자치도 제주시 애월읍 하귀2리 2964-9,2964-9,제주특별자치도 제주시 애월읍 하귀2리,슈슈양과샤오깡,1442265449,,0.0,제주시,애월읍,하귀2리,"['제주특별자치도', '제주시', '애월읍', '하귀2리']",33.478387232533336,126.39189414550924
60,제주특별자치도 제주시 애월읍 고내리 1158,1158,제주특별자치도 제주시 애월읍 고내리,1158족욕카페,1787101427,http://t1.daumcdn.net/place/5678ABE30B67447184E5FD2804A4A2B7,0.0,제주시,애월읍,고내리,"['제주특별자치도', '제주시', '애월읍', '고내리']",33.46711464558887,126.33651672705268
3245,제주특별자치도 제주시 애월읍 납읍리 1816-1,1816-1,제주특별자치도 제주시 애월읍 납읍리,미미슈,1668885826,http://t1.daumcdn.net/localfiy/4D9B2DFDFA104517B1DCD15D1A82CBFB,0.0,제주시,애월읍,납읍리,"['제주특별자치도', '제주시', '애월읍', '납읍리']",33.44090203633206,126.33016925649976
97,제주특별자치도 제주시 애월읍 구엄리 555-6,555-6,제주특별자치도 제주시 애월읍 구엄리,포메르,24450561,http://t1.daumcdn.net/place/5A2CCEDF0A7449CF98971604C727B513,0.0,제주시,애월읍,구엄리,"['제주특별자치도', '제주시', '애월읍', '구엄리']",33.483738245298476,126.37864421738392
2952,제주특별자치도 제주시 애월읍 장전리 385-2,385-2,제주특별자치도 제주시 애월읍 장전리,바오밥나무,255776746,http://t1.daumcdn.net/localfiy/ABB311A053EE46E38FE7E492C6F3A9FB,0.0,제주시,애월읍,장전리,"['제주특별자치도', '제주시', '애월읍', '장전리']",33.450812376129306,126.39102834491509
2754,제주특별자치도 제주시 애월읍 하귀1리 137-8,137-8,제주특별자치도 제주시 애월읍 하귀1리,차마실,26472123,,0.0,제주시,애월읍,하귀1리,"['제주특별자치도', '제주시', '애월읍', '하귀1리']",33.484635252793645,126.41550852029648
1267,제주특별자치도 제주시 애월읍 하귀2리 2675-5,2675-5,제주특별자치도 제주시 애월읍 하귀2리,지상에별두개,2145589981,http://t1.daumcdn.net/localfiy/4B8ACEA6814F4C24A7AEF70273951859,0.0,제주시,애월읍,하귀2리,"['제주특별자치도', '제주시', '애월읍', '하귀2리']",33.48357913940382,126.39385050435959
1773,제주특별자치도 제주시 애월읍 신엄리 1280-16,1280-16,제주특별자치도 제주시 애월읍 신엄리,소소한담,2076762809,http://t1.daumcdn.net/localfiy/searchregister_724853872,0.0,제주시,애월읍,신엄리,"['제주특별자치도', '제주시', '애월읍', '신엄리']",33.47151140938858,126.36697959314104
1072,제주특별자치도 제주시 애월읍 애월리 1549,1549,제주특별자치도 제주시 애월읍 애월리,제레미,1170785054,http://t1.daumcdn.net/place/EAC00E923FDC4415A1EA02230F9136AD,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.46453941708871,126.31851196194756
644,제주특별자치도 제주시 애월읍 납읍리 2282-7,2282-7,제주특별자치도 제주시 애월읍 납읍리,쉬리니케이크,1545999578,http://t1.daumcdn.net/place/B7AC929F5AEA4C50AF078F299D99923A,0.0,제주시,애월읍,납읍리,"['제주특별자치도', '제주시', '애월읍', '납읍리']",33.43849318386931,126.32820477383137
1242,제주특별자치도 제주시 애월읍 고내리 473,473,제주특별자치도 제주시 애월읍 고내리,키스더티라미수,1109621404,,0.0,제주시,애월읍,고내리,"['제주특별자치도', '제주시', '애월읍', '고내리']",33.468581144835575,126.34033091342086
1419,제주특별자치도 제주시 애월읍 하귀1리 193-3,193-3,제주특별자치도 제주시 애월읍 하귀1리,커피와도자기,1521389763,,0.0,제주시,애월읍,하귀1리,"['제주특별자치도', '제주시', '애월읍', '하귀1리']",33.48345395388289,126.41279217903934
2637,제주특별자치도 제주시 애월읍 신엄리 2860-3,2860-3,제주특별자치도 제주시 애월읍 신엄리,후아힌제주,1188891490,,0.0,제주시,애월읍,신엄리,"['제주특별자치도', '제주시', '애월읍', '신엄리']",33.47356776619678,126.35592250747547
1372,제주특별자치도 제주시 애월읍 구엄리 505,505,제주특별자치도 제주시 애월읍 구엄리,UFO카페,23690572,http://t1.daumcdn.net/place/00B0C99ECB3E47B484B988572DC56982,0.0,제주시,애월읍,구엄리,"['제주특별자치도', '제주시', '애월읍', '구엄리']",33.48551419793799,126.38185511539636
2214,제주특별자치도 제주시 애월읍 곽지리 1635,1635,제주특별자치도 제주시 애월읍 곽지리,문서프,27598301,http://t1.daumcdn.net/cfile/210E6039570F2D281F,0.0,제주시,애월읍,곽지리,"['제주특별자치도', '제주시', '애월읍', '곽지리']",33.450133618135226,126.30836851467369
