index,score,sleep_score,education,study,rest,family,friend,excersise,movie,reading,shopping,meal, activity,hair
1,7,7,7,7,2,,,,,,,5,,
2,5,7,5,,,,,,,,,,,
3,7,7,,,,,7,,,,7,,7,
4,5,1,5,7,2,,,9,,,,,,
5,8,8,,7,5,,,9,,,,,,
6,8,5,5,7,,,,9,,,,,,
7,9,5,9,8,,,,9,,,,,,
8,3,4,5,,7,,9,,,,,10,,
9,9,9,,7,,,,10,,,,,,
10,8,2,,6,7,7,,,10,,,,,
11,6,9,7,8,,,,10,,,,,,
12,7,9,7,5,,,,9,,10,,,,
13,5,8,4,3,,,,9,,,,,,
14,8,8,,,10,,10,10,,,,,10,7
15,8,6,5,9,,,,,,2,,,,
16,6,8,,7,7,,,6,,8,,,,
17,7,7,,6,,,,,,8,,,,
18,8,7,6,6,,,,10,,8,,,,